codigo P;nombre P;cantidad;precio;bod;cant_real;
7702080573551;GUAYO PROF GOLTY CLEVER AZL/AMA 7 1/2;1;71500;TFG  ;1;
7702080573650;GUAYO PROF GOLTY CLEVER AZL/AMA 8;2;71500;TFG  ;2;
7702080573711;GUAYO CLASSICS AZUL/VERDE 7 1/2 CAUCHO;1;67300;TFG  ;1;
7702080573759;GUAYO PROF GOLTY CLEVER AZL/AMA 9;2;71500;TFG  ;2;
7702080573810;GUAYO CLASSICS AZUL/VERDE 8 CAUCHO;1;67300;TFG  ;1;
7702080573858;GUAYO PROF GOLTY CLEVER AZL/AMA 9 1/2;2;71500;TFG  ;2;
7702080573957;GUAYO PROF GOLTY CLEVER AZL/AMA 10;2;71500;TFG  ;2;
7702080574015;GUAYO CLASSICS AZUL/VERDE 9 1/2 CAUCHO;2;67300;TFG  ;2;
7702080574114;GUAYO CLASSICS AZUL/VERDE 10 CAUCHO;1;67300;TFG  ;1;
7702080574251;GUAYO PROF GOLTY CLEVER NAR/AZL 7 1/2;1;71500;TFG  ;1;
7702080574350;GUAYO PROF GOLTY CLEVER NAR/AZL 8;2;71500;TFG  ;2;
7702080574459;GUAYO PROF GOLTY CLEVER NAR/AZL 9;1;71500;TFG  ;1;
7702080574558;GUAYO PROF GOLTY CLEVER NAR/AZL 9 1/2;1;71500;TFG  ;1;
7702080574657;GUAYO PROF GOLTY CLEVER NAR/AZL 10;1;71500;TFG  ;1;
7702080575319;GUAYO CLASSICS BLANCO/PLATA 9 CAUCHO;1;67300;TFG  ;1;
7702080575456;ZAP. TORR. PROF GOLTY CLEVER GRIS VER/AZUL 11 (42.5);1;71500;TFG  ;1;
7702080575654;ZAP TORR PROF GOLTY CLEVER GRIS/NE 7 1/2;2;71500;TFG  ;2;
7702080575852;ZAP TORR PROF GOLTY CLEVER GRIS/NE 9;1;71500;TFG  ;1;
7702080575951;ZAP TORR PROF GOLTY CLEVER GRIS/NE 9 1/2;1;71500;TFG  ;1;
7702080576354;ZAP TORR PROF GOLTY CLEVER AZL/AMA 7 1/2;3;71500;TFG  ;3;
